,r0,r1,r2,r3,s1,s2,s3,p1,p2,p3
641064,0.3756514296814155,0.2923637238736362,0.3400193405967657,0.2348012377514834,-0.4527439372611569,-0.3482827665151985,-0.4448869116109143,-0.0102142820781951,-0.3356200138751648,0.2079743327770112
658722,0.2463164774578043,0.2164088440623449,0.3288599555826685,0.2026075086572212,-0.482350834518647,-0.4696566657441192,-0.2859830232289413,-0.0476643943566391,-0.2096363793233496,-0.2278064918524998
659205,0.3579347560040503,0.2791773398365087,0.3629347617407005,0.2202547518787319,-0.3280916857774218,-0.4623370468766502,-0.4262888337249351,-0.0572284761425041,-0.218797370231097,0.0227066512089634
662110,0.2183191276848227,0.2754666824891809,0.2873748252287,0.3823756523254561,0.2879752304672668,0.3954926640521821,0.4186177522951353,0.0347892421203408,0.4257545088257014,0.0404567833545677
677188,0.2285300944366114,0.2323295084565782,0.3027936144533791,0.3832164865022378,0.4516163308503905,0.0413556985849367,0.4123341470156111,0.3238520454394357,0.3802892806564579,-0.0316082044972588
693149,0.3576858143039525,0.3105274447847533,0.3315036914263028,0.2470580235958756,-0.4756093598438589,-0.4574363492629344,-0.4524850779633814,-0.0760672273555019,-0.2363092890099134,-0.0106923751826356
693525,0.2081714648550044,0.2673797240179624,0.2817345277930687,0.2192249210059023,-0.3052190120582846,-0.2058432486284601,-0.4675358264551509,0.034362323108527,0.0702826103377762,0.2312200697948271
705465,0.3341886332949876,0.2522683707167278,0.3107438471386765,0.208576016960998,-0.2684965973219314,-0.3705253861236184,-0.3604701915125644,0.0116467658591442,0.1554789484446851,-0.0841111305379965
705632,0.3049277214957551,0.2991544854137647,0.2946842683755618,0.2273575120578882,-0.3184247704862243,-0.4663775716331234,-0.3657154203988098,-0.0250713418818213,0.1734930602605345,0.124337660559033
706264,0.2331181795041542,0.2277547779536713,0.3069215024041997,0.3798094676879681,0.3764390602083992,0.3078480242467744,0.3407349831370421,0.4782195338679437,0.2913285885485918,-0.2609155670496489
716646,0.2927963328824928,0.2861888004841708,0.2581585356635145,0.2438260051293344,-0.2166703536801675,-0.3173956762319682,-0.3580551964366918,0.0849336787321057,0.0962101977672875,0.0961480326205638
729595,0.2417289061132368,0.2740468066083857,0.281476629017989,0.2137239757268096,-0.4906668885772183,-0.3077214246002298,-0.0158819769292533,0.053530028874713,0.1196179740062635,0.185662057693576
749971,0.3463371368883196,0.3173343621861109,0.3479029640411709,0.2585003501224659,-0.2706861868296706,-0.3979974848124777,-0.4640043205316674,0.0633694866006667,-0.2231765448551289,0.1519810688081782
799603,0.2572193068515501,0.251025749240287,0.272918349697227,0.2357339784383866,-0.3977422835743253,-0.4331792729135882,-0.378095108495118,0.1065877367645142,0.0959510489740712,-0.0105994974694076
